PERMNO,date,TICKER,PRC,RET
77208,20200930,BSTC,52.83,-0.18093
77208,20201030,BSTC,88.1,0.667613
77208,20201130,BSTC,88.4,0.003405
77208,20201231,BSTC,,
77217,20200131,WETF,4.21,-0.130165
77217,20200228,WETF,4.06,-0.028504
77217,20200331,WETF,2.33,-0.426108
77217,20200430,WETF,3.24,0.390558
77217,20200529,WETF,2.99,-0.067901
77217,20200630,WETF,3.47,0.160535
77217,20200731,WETF,3.6,0.037464
77217,20200831,WETF,3.74,0.047222
77217,20200930,WETF,3.2,-0.144385
77217,20201030,WETF,3.64,0.1375
77217,20201130,WETF,4.28,0.184066
77217,20201231,WETF,5.35,0.25
77235,20200131,WTT,1.31,-0.083916
77235,20200228,WTT,1.23,-0.061069
77235,20200331,WTT,0.95,-0.227642
77235,20200430,WTT,0.9899,0.042
77235,20200529,WTT,1.01,0.020305
77235,20200630,WTT,0.9929,-0.016931
77235,20200731,WTT,1.1,0.107866
77235,20200831,WTT,1.31,0.190909
77235,20200930,WTT,1.38,0.053435
77235,20201030,WTT,1.37,-0.007246
77235,20201130,WTT,1.6,0.167883
77235,20201231,WTT,1.77,0.10625
77236,20200131,PHX,7.23,-0.35504
77236,20200228,PHX,6.65,-0.074689
77236,20200331,PHX,3.69,-0.445113
77236,20200430,PHX,4.33,0.173442
77236,20200529,PHX,4.18,-0.032333
77236,20200630,PHX,2.68,-0.358852
77236,20200731,PHX,2.2,-0.179104
77236,20200831,PHX,1.89,-0.136364
77236,20200930,PHX,1.43,-0.243386
77236,20201030,PHX,1.5,0.048951
77236,20201130,PHX,1.73,0.16
77236,20201231,PHX,2.3,0.32948
77239,20200131,OFC,29.77,0.013274
77239,20200228,OFC,25.34,-0.148808
77239,20200331,OFC,22.13,-0.115825
77239,20200430,OFC,26.42,0.193855
77239,20200529,OFC,24.97,-0.054883
77239,20200630,OFC,25.34,0.025831
77239,20200731,OFC,26.48,0.044988
77239,20200831,OFC,24.64,-0.069486
77239,20200930,OFC,23.72,-0.026177
77239,20201030,OFC,22.43,-0.054384
77239,20201130,OFC,26.63,0.187249
77239,20201231,OFC,26.08,-0.010327
77259,20200131,AHPI,3.89,2.199013
77259,20200228,AHPI,24,5.169666
77259,20200331,AHPI,17.51,-0.270417
77259,20200430,AHPI,9.63,-0.450029
77259,20200529,AHPI,9.33,-0.031153
77259,20200630,AHPI,11.78,0.262594
77259,20200731,AHPI,10.38,-0.118845
77259,20200831,AHPI,6.94,-0.331407
77259,20200930,AHPI,5.52,-0.204611
77259,20201030,AHPI,4.93,-0.106884
77259,20201130,AHPI,5.07,0.028398
77259,20201231,AHPI,4.87,-0.039448
77274,20200131,GILD,63.2,-0.027393
77274,20200228,GILD,69.36,0.097468
77274,20200331,GILD,74.76,0.087659
77274,20200430,GILD,84,0.123595
77274,20200529,GILD,77.83,-0.073452
77274,20200630,GILD,76.94,-0.002698
77274,20200731,GILD,69.53,-0.096309
77274,20200831,GILD,66.75,-0.039983
77274,20200930,GILD,63.19,-0.043146
77274,20201030,GILD,58.15,-0.079759
77274,20201130,GILD,60.67,0.043336
77274,20201231,GILD,58.26,-0.028515
77282,20200131,MSON,16.69,-0.10317
77282,20200228,MSON,13.85,-0.170162
77282,20200331,MSON,9.42,-0.319856
77282,20200430,MSON,12.59,0.336518
77282,20200529,MSON,13.93,0.106434
77282,20200630,MSON,13.57,-0.025844
77282,20200731,MSON,12.43,-0.084009
77282,20200831,MSON,13.19,0.061142
77282,20200930,MSON,11.73,-0.11069
77282,20201030,MSON,11.36,-0.031543
77282,20201130,MSON,13.94,0.227113
77282,20201231,MSON,12.5,-0.1033
77292,20200131,PDLI,3.29,0.013868
77292,20200228,PDLI,3.4,0.033435
77292,20200331,PDLI,2.82,-0.170588
77292,20200430,PDLI,3.39,0.202128
77292,20200529,PDLI,3.27,0.140313
77292,20200630,PDLI,2.91,-0.110092
77292,20200731,PDLI,3.18,0.092783
77292,20200831,PDLI,3.35,0.053459
77292,20200930,PDLI,3.15,-0.059701
77292,20201030,PDLI,2.15,-0.138873
77292,20201130,PDLI,2.53,0.176744
77292,20201231,PDLI,,
77300,20200131,SMG,122.74,0.155962
77300,20200228,SMG,105.99,-0.131742
77300,20200331,SMG,102.4,-0.033871
77300,20200430,SMG,124.03,0.21123
77300,20200529,SMG,142.57001,0.154156
77300,20200630,SMG,134.47,-0.056814
77300,20200731,SMG,158.57001,0.179222
77300,20200831,SMG,168.53,0.098253
77300,20200930,SMG,152.91,-0.092684
77300,20201030,SMG,150.05,-0.018704
77300,20201130,SMG,175.77,0.175541
77300,20201231,SMG,199.14,0.132958
77309,20200131,PFO,12.53,0.022119
77309,20200228,PFO,11.39,-0.085994
77309,20200331,PFO,9.9,-0.125329
77309,20200430,PFO,11.44,0.161869
77309,20200529,PFO,11.62,0.021285
77309,20200630,PFO,11.13,-0.036704
77309,20200731,PFO,12.25,0.106334
77309,20200831,PFO,12.04,-0.011592
77309,20200930,PFO,11.9,-0.00598
77309,20201030,PFO,11.68,-0.012773
77309,20201130,PFO,12.44,0.07089
77309,20201231,PFO,13.12,0.061736
77316,20200131,VGM,13.34,0.042148
77316,20200228,VGM,12.95,-0.02554
77316,20200331,VGM,12.09,-0.062602
77316,20200430,VGM,11.5,-0.044723
77316,20200529,VGM,12.06,0.052983
77316,20200630,VGM,12.04,0.002429
77316,20200731,VGM,12.74,0.062234
77316,20200831,VGM,12.69,0.000275
77316,20200930,VGM,12.42,-0.017061
77316,20201030,VGM,12.4,0.002697
77316,20201130,VGM,12.94,0.047863
77316,20201231,VGM,13.21,0.025
77338,20200131,ROP,381.66,0.078882
77338,20200228,ROP,351.70001,-0.078499
77338,20200331,ROP,311.81,-0.113421
77338,20200430,ROP,341.03,0.095355
77338,20200529,ROP,393.79999,0.154737
77338,20200630,ROP,388.26001,-0.014068
77338,20200731,ROP,432.45001,0.115135
77338,20200831,ROP,427.19,-0.012163
77338,20200930,ROP,395.10999,-0.075095
77338,20201030,ROP,371.34,-0.058863
77338,20201130,ROP,427,0.14989
77338,20201231,ROP,431.09,0.009578
77354,20200131,SCHL,32.95,-0.139142
77354,20200228,SCHL,32.09,-0.0261
77354,20200331,SCHL,25.49,-0.205672
77354,20200430,SCHL,29.07,0.146332
77354,20200529,SCHL,29.4,0.011352
77354,20200630,SCHL,29.94,0.018367
77354,20200731,SCHL,23.93,-0.200735
77354,20200831,SCHL,22.5,-0.053489
77354,20200930,SCHL,20.99,-0.067111
77354,20201030,SCHL,19.76,-0.051453
77354,20201130,SCHL,23.72,0.200405
77354,20201231,SCHL,25,0.053963
77357,20200131,SNPS,147.50999,0.059698
77357,20200228,SNPS,137.92999,-0.064945
77357,20200331,SNPS,128.78999,-0.066265
77357,20200430,SNPS,157.12,0.219971
77357,20200529,SNPS,180.91,0.151413
77357,20200630,SNPS,195,0.077884
77357,20200731,SNPS,199.22,0.021641
77357,20200831,SNPS,221.3,0.110832
77357,20200930,SNPS,213.98,-0.033077
77357,20201030,SNPS,213.86,-0.000561
77357,20201130,SNPS,227.5,0.06378
77357,20201231,SNPS,259.23999,0.139516
77366,20200131,ELY,21.42,0.010377
77366,20200228,ELY,16.98,-0.206816
77366,20200331,ELY,10.22,-0.398115
77366,20200430,ELY,14.32,0.401174
77366,20200529,ELY,15.32,0.070531
77366,20200630,ELY,17.51,0.14295
77366,20200731,ELY,19.05,0.08795
77366,20200831,ELY,20.86,0.095013
77366,20200930,ELY,19.14,-0.082455
77366,20201030,ELY,15.49,-0.1907
77366,20201130,ELY,21.25,0.371853
77366,20201231,ELY,24.01,0.129882
77369,20200131,CRT,8.26,-0.041904
77369,20200228,CRT,7.4,-0.091284
77369,20200331,CRT,5.68,-0.220092
77369,20200430,CRT,6.53,0.164769
77369,20200529,CRT,7.2,0.111222
77369,20200630,CRT,7.38,0.030926
77369,20200731,CRT,6.215,-0.153478
77369,20200831,CRT,6.2745,0.01568
77369,20200930,CRT,5.5,-0.118329
77369,20201030,CRT,7.35,0.350271
77369,20201130,CRT,8.06,0.103651
77369,20201231,CRT,8.24,0.030042
77377,20200131,SBI,9.47,0.04554
77377,20200228,SBI,9.3094,-0.014477
77377,20200331,SBI,8.43,-0.091939
