fyear,tic,gsector,ggroup,gind,gsubind,naics,sic,spcsrc,at,act,invt,lt,lct,ap,teq,re,sale,cogs,xopr,ni,oancf,ivncf,fincf
2019,ARW,45,4520,452030,45203030,423690,5065,B,16400.796,12526.159,3477.12,11534.403,8258.159,7046.221,4866.393,5869.037,28916.847,25594.266,27769.709,-204.087,857.995,-173.583,-906.369
2018,ARTW,20,2010,201060,20106015,333111,3523,C,21.325,12.145,10.356,8.288,5.765,0.802,13.037,9.967,19.727,15.255,21.27,-3.387,-1.119,0.707,0.203
2019,ARTW,20,2010,201060,20106015,333111,3523,C,19.347,11.407,9.505,7.553,5.203,1.206,11.794,8.548,22.889,17.957,23.382,-1.42,0.808,0.453,-1.261
2018,AB.,15,1510,151040,15104020,523999,6799,C,29.869,6.704,0,50.628,4.139,0.144,-20.759,-54.071,2.177,2.006,2.006,-0.096,-1.074,1.166,-0.106
2019,AB.,15,1510,151040,15104020,523999,6799,C,30.701,5.383,0,50.974,4.378,0.224,-20.273,-53.585,3.22,1.073,1.073,0.472,-0.898,0.306,0.62
2018,ASH,15,1510,151010,15101050,3252,2820,B-,8252,1712,663,4846,1075,483,3406,2459,3743,2449,3116,114,297,-202,-368
2019,ASH,15,1510,151010,15101050,3252,2820,B-,7251,1433,597,3680,757,313,3571,2814,2493,1513,1978,505,241,849,-1149
2018,ALOT,45,4520,452020,45202030,334118,3577,B,118.983,62.608,30.161,49.208,24.665,5.956,69.775,48.693,136.657,76.506,121.785,5.73,3.38,-1.534,-4.118
2019,ALOT,45,4520,452020,45202030,334118,3577,B,116.664,60.151,33.925,45.289,26.767,4.409,71.375,48.205,133.446,78.404,124.729,1.759,3.224,-2.906,-3.742
2018,ATRO,20,2010,201010,20101010,336320,3640,B-,774.64,374.171,138.685,388.015,128.092,50.664,386.625,363.238,803.256,588.16,704.193,46.803,54.881,-19.667,-36.134
2019,ATRO,20,2010,201010,20101010,336320,3640,B-,782.716,343.081,145.787,393.859,120.64,35.842,388.857,412.956,772.702,569.863,691.246,52.017,42.689,64.63,-92.182
2018,ACLLF,55,5510,551030,55103010,221210,4932,B+,23344,2097,66,15902,1748,921,7442,3575,4888,3091,3091,328,999,-1644,837
2019,ACLLF,55,5510,551030,55103010,221210,4932,B+,21703,2037,64,13845,910,675,7858,3815,4706,2715,2715,513,1542,-289,-782
2018,SO7,55,5510,551020,55102010,221210,4924,A-,21448,2555,,12878,3024,901,8570,-286,3909,2743,2743,372,764,998,-1770
2019,SO7,55,5510,551020,55102010,221210,4924,A-,21687,2106,,12181,2010,483,9506,-191,3792,2420,2420,585,1067,-1386,298
2018,REX,10,1010,101020,10102030,325193,2860,B-,471.393,250.621,18.477,26.122,17.009,7.463,445.271,579.558,486.671,431.628,452.179,31.645,47.931,-24.641,-25.82
2019,REX,10,1010,101020,10102030,325193,2860,B-,500.502,271.135,35.634,46.896,31.599,18.9,453.606,586.985,418.034,382.542,401.8,7.427,10.343,-14.432,-3.952
2018,ADSK,45,4510,451030,45103010,519130,7370,B-,4729.2,1620,0,4940.1,2301.2,101.6,-210.9,-2282.4,2569.8,211.2,2444.1,-80.8,377.1,-710.4,151.9
2019,ADSK,45,4510,451030,45103010,519130,7370,B-,6179.3,2659.3,0,6318.4,3219.2,83.7,-139.1,-2456.1,3274.3,238.6,2782.8,214.5,1415.1,-57.3,-466.8
2018,ADP,45,4510,451020,45102020,518210,7374,A,37088.7,32050,0,33629.1,30413.6,135.4,3459.6,14590.5,13325.8,7465,10323.1,1620.8,2515.2,-2504.6,-1655.9
